constructorId,name,nationality
ferrari,Ferrari,Italian
mercedes,Mercedes,German
red_bull,Red Bull,Austrian
mclaren,McLaren,British
renault,Renault,French
force_india,Force India,Indian
sauber,Sauber,Swiss
williams,Williams,British
toro_rosso,Toro Rosso,Italian
haas,Haas F1 Team,American
alfa,Alfa Romeo,Swiss
racing_point,Racing Point,British
alphatauri,AlphaTauri,Italian
aston_martin,Aston Martin,British
alpine,Alpine F1 Team,French
rb,RB F1 Team,Italian
audi,Audi,German
cadillac,Cadillac F1 Team,American
